29 29 6
97.098 222.81
378.49136 233.62133
331.15376 201.75626
358.92286 180.01747
64.404 122.19
274.93935 286.49075
354.85907 149.55696
235.596 122.19
329.97008 271.39605
900.0 0.0
311.73639 32.39084
381.53365 99.11236
0.0 600.0
277.36771 40.30297
150.0 60.0
343.24793 234.88574
329.88138 62.63265
307.93929 298.93407
274.27217 75.43295
388.18012 199.71062
276.57583 251.26264
310.58695 241.93248
202.902 222.81
900.0 600.0
330.30236 124.24294
306.72787 89.23365
0.0 0.0
346.78793 93.06725
386.52095 134.02561
10 25
23 12
26 9
27 28
9 23
12 26
1 2
4 7
8 5
22 4
14 22
15 3
19 15
24 11
5 21
18 10
28 24
13 16
0 14
20 8
7 0
16 18
11 6
3 1
2 19
21 17
17 20
25 13
6 27
26 238 28 37
14 255 255 0
10 255 255 0
11 255 255 0
19 255 255 0
21 255 255 0
